book_id,Title,Price
1564762742,Dance of Darkness (Winds of Light #8),
B0006P2T4E,The complete guide to medicine ball training,
786268948,Steam: The Untold Story Of America's First Great Invention,
1578561361,Praying the Bible for Your Life,
393039617,The Godless Constitution: The Case Against Religious Correctness,
671551361,DARK ANGEL NIGHT WORLD 4,
B0007C0F88,The Magic Jeepney,
B0006W4076,"Labor's untold story,",
929775031,To Catch a Tuna,
B000J0WANQ,Bobby Kennedy : The Making of a Folk Hero,
613340019,Haiku Year,
60958596,Lanterns: A Memoir of Mentors,11.69
71374043,Get Ready! For Standardized Tests : Math Grade 4,11.66
B000PVKWH0,Mothman Prophecies,
691092877,"The Devil in Silicon Valley: Northern California, Race, and Mexican Americans",
B0007EN06U,California Tree Finder: A pocket manual for identifying California trees,
1856494500,"Writing African Women: Gender, Popular Culture and Literature in West Africa",
1410220621,Okhrana: The Paris Operations of the Russian Imperial Police,29.5
B000GP1Q7A,The Art of the Novel,
595344577,"Dreams, Dilemmas and a Dragon Named Charles: A Collection of Poems",17.95
911382194,Railroad Mergers History Analysis Insight,
912411082,101 Ways to Market Your Books: For Publishers and Authors,
B000J5KSK8,The Gods of Mars,
B000O14U74,United States Navy Aircraft Since 1911,
486406687,"Old Rockaway, New York, in Early Photographs",
1930865112,The Transfer Society: Economic Expenditures on Transfer Activity,8.07
1890951633,Intimate Enemy: Images and Voices of the Rwandan Genocide,37.95
1555581846,"Groupware, Workflow and Intranets: Re-engineering the Enterprise with Collaborative Software",
739201573,"Foghorns saved lives, too: Lighthouse living in Michigan's Upper Peninsula",
1557423784,Aaron's Rod,35
80428398,"Compact Heat Exchangers: Selection, Design and Operation",168
919345476,The Witches' God: Lord of the Dance,16.75
B0006E1ZR2,The musician's guide to independent record production,
975533118,Beauty & Submission,
1932613099,PE Sample Questions and Solutions: Chemical Engineering,
B000N755IW,Autobiography of My Mother,
1560444991,A Piece of Paradise: A Story of Custer State Park,
773757333,Man Who Planted Trees,
1583220496,Howard Zinn on War,
134516591,The Simple Book: An Introduction to Networking Management (Prentice Hall Series in Innovative Technology),
B000IMS3LI,The Deluge Drivers,
9810237405,Algorithms: Design Techniques and Analysis (Lecture Notes Series on Computing),97.49
964731134,Fitworks Your 21st Century Way to Total Fitness,
75543737,Just Business: New Introductory Essays in Business Ethics,
B0007E2A9I,The D.A. calls a turn,
895554240,Saint Rose of Lima: The Story of the First Canonized Saint of the Americas (Stories of the Saints for Young People Ages 10 to 100),9.31
1556610734,Getting Evangelicals Saved,
805055924,Chimney Rock: A Novel,
826210341,The Democrats: From Jefferson to Clinton,24.95
1859182089,Irish Writing in the Twentieth Century: A Reader,
739317040,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",
188933099X,"Air Fare: Stories, Poems, and Essays on Flight",16.95
2067107216,Michelin Gulf Coast Regional Road Atlas (Michelin Regional Road Atlas Gulf Coast),
